./lab2a --iterations=10 --threads=1
10	6133
10	5717
10	5839
10	6095
10	5946
10	6301
10	5888
10	5862
10	5487
10	5860
10	6367
./lab2a --iterations=20 --threads=1
20	3356
20	2918
20	2869
20	2982
20	2468
20	2969
20	2350
20	2223
20	2294
20	2146
20	2149
./lab2a --iterations=50 --threads=1
50	963
50	942
50	1162
50	1378
50	1678
50	1568
50	1286
50	1430
50	1430
50	1408
50	1091
./lab2a --iterations=100 --threads=1
100	507
100	620
100	607
100	586
100	800
100	517
100	777
100	730
100	639
100	747
100	760
./lab2a --iterations=250 --threads=1
250	163
250	188
250	219
250	175
250	184
250	180
250	176
250	177
250	174
250	158
250	174
./lab2a --iterations=500 --threads=1
500	90
500	91
500	99
500	111
500	101
500	66
500	131
500	144
500	137
500	106
500	162
./lab2a --iterations=1000 --threads=1
1000	57
1000	65
1000	36
1000	59
1000	50
1000	73
1000	48
1000	70
1000	56
1000	73
1000	66
./lab2a --iterations=5000 --threads=1
5000	13
5000	18
5000	14
5000	15
5000	15
5000	15
5000	15
5000	15
5000	15
5000	15
5000	15
./lab2a --iterations=10000 --threads=1
10000	12
10000	11
10000	11
10000	12
10000	12
10000	12
10000	12
10000	12
10000	11
10000	12
10000	13
